,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,pose
243,"['0.3093861', '0.5249261']","['0.29218316', '0.54010487']","['0.29327342', '0.5058349']","['0.3005622', '0.5605682']","['0.30873665', '0.4923043']","['0.36725214', '0.5829576']","['0.3779291', '0.47446772']","['0.23172761', '0.57520336']","['0.25474182', '0.463022']","['0.14432143', '0.5326932']","['0.14632973', '0.49656188']","['0.5882909', '0.5681462']","['0.5838161', '0.4919278']","['0.76004285', '0.54569024']","['0.6831856', '0.36847365']","['0.9185446', '0.5378294']","['0.66134113', '0.5107883']",t
244,"['0.15608014', '0.45995384']","['0.13670798', '0.4797918']","['0.13610995', '0.44408733']","['0.14540623', '0.50373816']","['0.14759578', '0.41860956']","['0.25706172', '0.53982073']","['0.24579814', '0.3722299']","['0.4014946', '0.5632194']","['0.38886982', '0.3295545']","['0.325246', '0.4696884']","['0.3218299', '0.41678146']","['0.5003346', '0.4754998']","['0.48542643', '0.37113371']","['0.7208531', '0.45389852']","['0.61909115', '0.2040995']","['0.8895194', '0.42167214']","['0.652058', '0.41578147']",t
245,"['0.18173239', '0.48435074']","['0.16626322', '0.50039244']","['0.1660389', '0.4691496']","['0.17852412', '0.5253837']","['0.17918189', '0.45315763']","['0.2685904', '0.5718949']","['0.26756415', '0.398664']","['0.40174586', '0.5930541']","['0.3920403', '0.36554518']","['0.31255248', '0.50448257']","['0.31089374', '0.46933937']","['0.50525856', '0.5547577']","['0.5332542', '0.4516303']","['0.57944477', '0.7215783']","['0.7223796', '0.4807267']","['0.6176106', '0.52697664']","['0.91735256', '0.5099826']",t
246,"['0.4000164', '0.35440242']","['0.38949776', '0.3525328']","['0.3920881', '0.35652503']","['0.39768365', '0.32886234']","['0.40052003', '0.35146812']","['0.43293208', '0.3076568']","['0.42509553', '0.36017662']","['0.4348327', '0.23683633']","['0.42593917', '0.42541033']","['0.42879176', '0.21552154']","['0.41753113', '0.46550107']","['0.52915066', '0.31640786']","['0.5315491', '0.3561344']","['0.5688218', '0.26406038']","['0.5603731', '0.43307704']","['0.62739664', '0.21375903']","['0.6368912', '0.4279691']",w
247,"['0.3762253', '0.4375539']","['0.36666214', '0.4470689']","['0.36492237', '0.43761665']","['0.3791887', '0.47897625']","['0.37623248', '0.45480675']","['0.42944753', '0.5180752']","['0.432026', '0.43141934']","['0.43739608', '0.5896748']","['0.43088052', '0.35710707']","['0.4211938', '0.6695586']","['0.40930513', '0.2880429']","['0.561351', '0.4987095']","['0.5608758', '0.46001258']","['0.65131354', '0.5745536']","['0.60089225', '0.34489933']","['0.70458615', '0.6608167']","['0.7190748', '0.3410067']",w
248,"['0.24918945', '0.49084264']","['0.24361835', '0.48210734']","['0.25487435', '0.46957493']","['0.271546', '0.4763271']","['0.2967323', '0.44910675']","['0.27178225', '0.5446091']","['0.3722117', '0.44199595']","['0.17992191', '0.6049618']","['0.4654162', '0.41417685']","['0.10673615', '0.6454534']","['0.40513924', '0.45265147']","['0.51014614', '0.57489514']","['0.5200171', '0.49816015']","['0.55095565', '0.71484107']","['0.6048508', '0.38770083']","['0.6913967', '0.7311705']","['0.6984835', '0.26353025']",w
249,"['0.30760893', '0.48603085']","['0.2949375', '0.49638903']","['0.29266617', '0.49022526']","['0.29705805', '0.5474994']","['0.2943914', '0.5255684']","['0.36637172', '0.61843663']","['0.3763106', '0.47283098']","['0.3697554', '0.73215663']","['0.3895744', '0.35552925']","['0.37387422', '0.8414092']","['0.40129066', '0.24653395']","['0.56877226', '0.56979024']","['0.56154174', '0.487737']","['0.56259143', '0.7332217']","['0.6641138', '0.34376']","['0.7358232', '0.78791606']","['0.7409011', '0.18966289']",w
250,"['0.44455004', '0.36512184']","['0.4315668', '0.3696708']","['0.43305686', '0.36881608']","['0.42606035', '0.3926538']","['0.43003088', '0.38862953']","['0.45702112', '0.43869957']","['0.45365274', '0.41942477']","['0.47257364', '0.512917']","['0.45931315', '0.4674908']","['0.48347396', '0.5213493']","['0.44894952', '0.41457886']","['0.5028717', '0.5270172']","['0.50312054', '0.51053834']","['0.6123855', '0.5460929']","['0.61675453', '0.54254705']","['0.7241251', '0.5414815']","['0.69151014', '0.53925216']",w
251,"['0.26498985', '0.47117165']","['0.2548855', '0.48763698']","['0.25236514', '0.4738567']","['0.26607883', '0.53523624']","['0.26125592', '0.50304574']","['0.3505848', '0.58521503']","['0.3334331', '0.43857175']","['0.37073314', '0.69398314']","['0.32919618', '0.33411366']","['0.38563338', '0.7875806']","['0.31341338', '0.23058543']","['0.5569805', '0.5753252']","['0.5591378', '0.4938267']","['0.6721492', '0.6920484']","['0.60359746', '0.35536355']","['0.78060114', '0.80239934']","['0.7697504', '0.3446348']",w
252,"['0.39271155', '0.3922773']","['0.37748072', '0.4035532']","['0.37827998', '0.39271495']","['0.38074386', '0.44594768']","['0.38343465', '0.4243347']","['0.4388128', '0.52532357']","['0.4563627', '0.38674346']","['0.46042162', '0.6350289']","['0.48116055', '0.30742183']","['0.4465295', '0.7366257']","['0.45357183', '0.2146282']","['0.6334825', '0.5125139']","['0.6348285', '0.44023398']","['0.7457644', '0.63656306']","['0.68036205', '0.29948094']","['0.8529436', '0.7494765']","['0.8263422', '0.30772218']",w
253,"['0.29723147', '0.47103584']","['0.28834346', '0.48237237']","['0.28659984', '0.4752212']","['0.29472035', '0.5203121']","['0.29079476', '0.50084054']","['0.35736936', '0.57322115']","['0.35197604', '0.4486129']","['0.35748905', '0.65933174']","['0.3446032', '0.34612554']","['0.3566013', '0.75022095']","['0.33977994', '0.26904318']","['0.53170174', '0.5357614']","['0.52852744', '0.46024546']","['0.6244744', '0.62896115']","['0.57219976', '0.33005252']","['0.72092974', '0.72842026']","['0.714078', '0.32658973']",w
254,"['0.42375025', '0.49201712']","['0.41879925', '0.4862026']","['0.4160547', '0.48470336']","['0.43115938', '0.46655172']","['0.43120793', '0.45412892']","['0.48394048', '0.4841603']","['0.47884536', '0.4413575']","['0.38095957', '0.49526995']","['0.37149957', '0.46156362']","['0.30069', '0.46966708']","['0.29828086', '0.45128796']","['0.6481522', '0.4576709']","['0.6564507', '0.4432911']","['0.6478993', '0.5832134']","['0.6497228', '0.5901931']","['0.72991866', '0.28135538']","['0.7797132', '0.6085046']",w
255,"['0.4023533', '0.53744954']","['0.39022836', '0.52791']","['0.39172846', '0.5219978']","['0.40057555', '0.50303406']","['0.40477', '0.49054095']","['0.46246314', '0.5571988']","['0.46501252', '0.44559395']","['0.46715266', '0.6426091']","['0.46302515', '0.348086']","['0.4751339', '0.7179551']","['0.45926782', '0.2744285']","['0.6292589', '0.5351046']","['0.6299995', '0.47768527']","['0.64393735', '0.6640326']","['0.70755184', '0.36572704']","['0.77961296', '0.6792749']","['0.7837429', '0.25746885']",w
256,"['0.2839233', '0.5349259']","['0.2715706', '0.54555523']","['0.2682729', '0.5390919']","['0.27700508', '0.58844864']","['0.27433544', '0.57227683']","['0.3452405', '0.63418686']","['0.34428155', '0.52561355']","['0.3454812', '0.73874587']","['0.328174', '0.4154577']","['0.33623913', '0.84636295']","['0.3050011', '0.33352566']","['0.5376892', '0.60709715']","['0.54189986', '0.54139644']","['0.6317897', '0.7257512']","['0.5820457', '0.3896762']","['0.73838043', '0.86416227']","['0.72980976', '0.36332527']",w
257,"['0.2076426', '0.5250814']","['0.1936541', '0.51542383']","['0.19457017', '0.51016676']","['0.19916832', '0.4871302']","['0.2044578', '0.47723132']","['0.26641914', '0.53868']","['0.2660302', '0.4347508']","['0.24671511', '0.62949497']","['0.26247', '0.33029678']","['0.24137615', '0.7037221']","['0.2671519', '0.26435208']","['0.44098073', '0.5354932']","['0.442413', '0.46674687']","['0.46758866', '0.6471634']","['0.52638495', '0.38846946']","['0.60232246', '0.6468817']","['0.61473477', '0.31258008']",w
258,"['0.416764', '0.4513744']","['0.4181314', '0.43856022']","['0.43648574', '0.4370005']","['0.4314249', '0.42750144']","['0.46869335', '0.42605212']","['0.433323', '0.4858731']","['0.51761574', '0.43701413']","['0.34937182', '0.42868012']","['0.60889405', '0.4165173']","['0.3052129', '0.38207424']","['0.68801916', '0.37610897']","['0.62249035', '0.5594902']","['0.6231851', '0.49533397']","['0.6466126', '0.6835383']","['0.7075724', '0.38921702']","['0.7848004', '0.6857676']","['0.7838476', '0.28237557']",w
259,"['0.32731846', '0.4761928']","['0.31679866', '0.48853427']","['0.31318188', '0.47328106']","['0.32212073', '0.5259602']","['0.31479013', '0.48728505']","['0.36956745', '0.563755']","['0.36686504', '0.44774547']","['0.3779633', '0.6406384']","['0.37161925', '0.35987106']","['0.3639778', '0.7185353']","['0.35778746', '0.2792992']","['0.53002447', '0.5207371']","['0.5280782', '0.4603883']","['0.61646914', '0.61103773']","['0.5630234', '0.33823735']","['0.69539285', '0.73222625']","['0.69520813', '0.3154781']",w
260,"['0.2937371', '0.51934946']","['0.28041276', '0.51948494']","['0.28371558', '0.50611234']","['0.2856236', '0.5089875']","['0.2936696', '0.47900906']","['0.33651882', '0.5516336']","['0.34083903', '0.43518353']","['0.35147905', '0.625518']","['0.35685262', '0.35590103']","['0.3492765', '0.71228683']","['0.36210728', '0.28659657']","['0.5092366', '0.5272551']","['0.5137547', '0.45764863']","['0.56043386', '0.6304434']","['0.6025803', '0.38095906']","['0.67595625', '0.64276236']","['0.6787883', '0.30555537']",w
261,"['0.40691647', '0.41968787']","['0.40401354', '0.42710784']","['0.40215018', '0.42186457']","['0.41104478', '0.4527618']","['0.40480736', '0.4422312']","['0.44540668', '0.46350643']","['0.4473631', '0.42342028']","['0.34954008', '0.43583572']","['0.356569', '0.41858676']","['0.2955491', '0.43799075']","['0.28526616', '0.42651516']","['0.6059369', '0.46579155']","['0.60283136', '0.42621088']","['0.64865786', '0.55427855']","['0.61786497', '0.31751406']","['0.69087785', '0.62506163']","['0.7238972', '0.30071726']",w
262,"['0.39494878', '0.7316983']","['0.38862705', '0.7395484']","['0.38532144', '0.7309548']","['0.39536542', '0.7657011']","['0.39109057', '0.7429484']","['0.43518943', '0.80781853']","['0.43524072', '0.729843']","['0.43631962', '0.8879679']","['0.42758834', '0.64387137']","['0.4448663', '0.94126016']","['0.41716912', '0.59387594']","['0.5822034', '0.79391855']","['0.57727456', '0.74070936']","['0.6426146', '0.8789883']","['0.5994256', '0.64270985']","['0.71163815', '0.95123965']","['0.70697004', '0.629793']",w
263,"['0.35022274', '0.41662046']","['0.33992475', '0.42969373']","['0.3365859', '0.42096752']","['0.3453613', '0.46544054']","['0.34181726', '0.4446341']","['0.3983511', '0.5120747']","['0.39914712', '0.40904567']","['0.41166538', '0.60515887']","['0.39393035', '0.31020784']","['0.41139188', '0.6949808']","['0.38568562', '0.21977153']","['0.58315414', '0.48746008']","['0.58118427', '0.42377263']","['0.65731096', '0.5920348']","['0.5959542', '0.29365093']","['0.7315432', '0.6968992']","['0.73821497', '0.29306716']",w
264,"['0.0807984', '0.5221206']","['0.06545496', '0.53830916']","['0.06723489', '0.50292313']","['0.08164497', '0.56314284']","['0.085871294', '0.47715697']","['0.18050046', '0.5984192']","['0.1891013', '0.45743543']","['0.17887214', '0.68098044']","['0.24625231', '0.39516193']","['0.1317068', '0.8045916']","['0.26342502', '0.31900078']","['0.45846197', '0.56489664']","['0.45372736', '0.45560253']","['0.6058982', '0.67746943']","['0.6041851', '0.40298125']","['0.88203126', '0.71279985']","['0.761685', '0.3703591']",w
265,"['0.30077532', '0.4552984']","['0.29278922', '0.46725783']","['0.29029587', '0.46237728']","['0.30356833', '0.50887537']","['0.29864106', '0.48983952']","['0.36554366', '0.5606698']","['0.36224818', '0.4352688']","['0.36263743', '0.6671325']","['0.36805043', '0.3315638']","['0.36362004', '0.7457247']","['0.3623308', '0.2489674']","['0.5581222', '0.5527989']","['0.5624888', '0.4797905']","['0.67694885', '0.6597708']","['0.62544733', '0.33923253']","['0.7742286', '0.7717357']","['0.7698019', '0.30813488']",w
266,"['0.28298575', '0.48855713']","['0.2745206', '0.49935415']","['0.271549', '0.49785674']","['0.28503397', '0.5421544']","['0.28139785', '0.52937627']","['0.3525592', '0.5940547']","['0.35718834', '0.47694963']","['0.3603629', '0.70108336']","['0.3482118', '0.3611862']","['0.37650838', '0.7845907']","['0.34124625', '0.28917027']","['0.55857086', '0.5836987']","['0.55956584', '0.5128255']","['0.6474103', '0.70443094']","['0.56831366', '0.39215887']","['0.7169401', '0.8591346']","['0.7184278', '0.39366567']",w
267,"['0.31244552', '0.44166958']","['0.2985734', '0.45452797']","['0.2986771', '0.45749325']","['0.31235856', '0.48334754']","['0.31255847', '0.498837']","['0.37732816', '0.41994163']","['0.36441764', '0.56122375']","['0.39762086', '0.30128574']","['0.37925124', '0.62918144']","['0.39105248', '0.22902533']","['0.37448257', '0.6790984']","['0.5847157', '0.46689254']","['0.578413', '0.5512111']","['0.65073663', '0.35729545']","['0.64858747', '0.60005486']","['0.8245223', '0.38634548']","['0.72828716', '0.6841147']",w
268,"['0.60558915', '0.36080822']","['0.59616816', '0.35443288']","['0.5988358', '0.3641876']","['0.6024608', '0.32228094']","['0.60735196', '0.35795942']","['0.6440069', '0.29782665']","['0.633263', '0.36689603']","['0.65060884', '0.22934085']","['0.63986427', '0.4408258']","['0.65575695', '0.17250845']","['0.63296026', '0.5095904']","['0.7602556', '0.32201964']","['0.76137865', '0.35897127']","['0.82193553', '0.25565353']","['0.80003834', '0.45057556']","['0.8786678', '0.19917598']","['0.885034', '0.4445962']",w
269,"['0.43776584', '0.4234605']","['0.41914815', '0.43687916']","['0.41478315', '0.41934428']","['0.4145547', '0.4811405']","['0.40686327', '0.43661982']","['0.44796324', '0.5423314']","['0.44916093', '0.4125065']","['0.49409384', '0.5078409']","['0.47180292', '0.3488723']","['0.5128614', '0.43394238']","['0.48023286', '0.24462774']","['0.47792315', '0.62877715']","['0.50505966', '0.5636095']","['0.48776332', '0.68674904']","['0.64484227', '0.56187326']","['0.45796734', '0.748201']","['0.7861474', '0.5760195']",w
270,"['0.32746693', '0.5217617']","['0.31356844', '0.5136673']","['0.31500268', '0.51361394']","['0.31353125', '0.4833322']","['0.31906584', '0.483781']","['0.38063598', '0.49815798']","['0.37600386', '0.46637622']","['0.37837675', '0.61896133']","['0.379314', '0.32538012']","['0.38499567', '0.7090872']","['0.39302078', '0.23995697']","['0.54259187', '0.45686254']","['0.5425366', '0.49682564']","['0.63860315', '0.3529665']","['0.5857628', '0.64869493']","['0.72279924', '0.255279']","['0.72647935', '0.6580391']",w
271,"['0.31133476', '0.4745897']","['0.30783316', '0.4883167']","['0.3083677', '0.45505092']","['0.34235138', '0.50544924']","['0.351149', '0.4274729']","['0.40761504', '0.54686606']","['0.414718', '0.40147823']","['0.25891227', '0.52678066']","['0.2674164', '0.4120533']","['0.12180573', '0.4942144']","['0.12378754', '0.4287805']","['0.65025723', '0.527002']","['0.66243976', '0.43170136']","['0.71328765', '0.58823276']","['0.73284984', '0.39075458']","['0.86526054', '0.5244784']","['0.64590776', '0.36415023']",w
272,"['0.13819885', '0.54993945']","['0.12194671', '0.5588276']","['0.12052802', '0.5288876']","['0.13452718', '0.54708403']","['0.13338089', '0.48151344']","['0.24252932', '0.58026975']","['0.23158807', '0.43783236']","['0.25485897', '0.6665783']","['0.24736807', '0.3710126']","['0.23306729', '0.75822574']","['0.22052746', '0.310925']","['0.4894045', '0.5372487']","['0.49365076', '0.43968987']","['0.59577954', '0.66480684']","['0.64276934', '0.3875405']","['0.8125212', '0.6485752']","['0.7573233', '0.30330393']",w
273,"['0.32107714', '0.54659015']","['0.3018886', '0.53297824']","['0.30134135', '0.53256285']","['0.30702424', '0.4923555']","['0.31127667', '0.4918663']","['0.36752966', '0.50450325']","['0.36995333', '0.47207978']","['0.24744318', '0.53523624']","['0.24334595', '0.5266372']","['0.15886244', '0.5748022']","['0.15671217', '0.565621']","['0.58805776', '0.528394']","['0.5900296', '0.4814718']","['0.68944323', '0.663446']","['0.7303134', '0.39222527']","['0.8566721', '0.65597135']","['0.86292773', '0.2832954']",w
274,"['0.54395074', '0.42560515']","['0.55007184', '0.41160712']","['0.5493311', '0.41002378']","['0.53765285', '0.38693735']","['0.5359329', '0.37568945']","['0.4787223', '0.3812036']","['0.4616853', '0.3785559']","['0.36632288', '0.34989655']","['0.36529365', '0.34233204']","['0.25583482', '0.31915587']","['0.25888848', '0.3071753']","['0.387309', '0.56671953']","['0.38261065', '0.5557891']","['0.5006728', '0.6988253']","['0.4756056', '0.43826777']","['0.6013927', '0.8210744']","['0.5977968', '0.82090026']",w
275,"['0.38007635', '0.70229256']","['0.37320098', '0.6972744']","['0.3782675', '0.6876538']","['0.3831239', '0.68606144']","['0.3919426', '0.666892']","['0.43478227', '0.7000919']","['0.43475103', '0.68515885']","['0.34384495', '0.7247077']","['0.3348141', '0.72216684']","['0.27094343', '0.7371011']","['0.26748863', '0.7374284']","['0.598181', '0.7377174']","['0.60747945', '0.6817218']","['0.6587579', '0.8320223']","['0.71136075', '0.60822695']","['0.7799945', '0.83932847']","['0.7848037', '0.51658887']",w
276,"['0.3271285', '0.5420608']","['0.33144793', '0.56094515']","['0.31923524', '0.553582']","['0.36875227', '0.5756852']","['0.34646654', '0.5602969']","['0.43382567', '0.5745864']","['0.36491', '0.5126385']","['0.53119624', '0.59023803']","['0.28141907', '0.55248755']","['0.6342038', '0.6216493']","['0.23446073', '0.6162281']","['0.5669191', '0.5242488']","['0.56891537', '0.45142573']","['0.66475475', '0.6220445']","['0.60118765', '0.321326']","['0.73539877', '0.71859115']","['0.72882694', '0.33739215']",w
277,"['0.36473593', '0.6010597']","['0.35598546', '0.6089615']","['0.3556254', '0.59769547']","['0.35487646', '0.63760334']","['0.3547012', '0.6128963']","['0.3939382', '0.6684291']","['0.39948818', '0.5920937']","['0.40380868', '0.7475272']","['0.40969637', '0.5412858']","['0.40463215', '0.79721385']","['0.40526912', '0.45828605']","['0.5408953', '0.6475793']","['0.5363974', '0.58890545']","['0.6103321', '0.71919405']","['0.5815668', '0.49609533']","['0.6658393', '0.7751495']","['0.69272584', '0.4899808']",w
278,"['0.33209404', '0.4121641']","['0.32152265', '0.4198499']","['0.31993884', '0.4175592']","['0.32355818', '0.45749253']","['0.32369468', '0.4497537']","['0.37260392', '0.5031128']","['0.37763274', '0.41019496']","['0.3881264', '0.5940885']","['0.38242084', '0.3369143']","['0.38520443', '0.6731544']","['0.3676754', '0.2610082']","['0.52903736', '0.49543273']","['0.5302657', '0.43300855']","['0.61616063', '0.5801859']","['0.5755562', '0.3268323']","['0.68810683', '0.6517011']","['0.69387686', '0.33783314']",w
279,"['0.30271348', '0.41295955']","['0.28725302', '0.4331325']","['0.28786263', '0.4314342']","['0.3025157', '0.47981527']","['0.30244076', '0.4733893']","['0.3752923', '0.5827863']","['0.39858142', '0.38954893']","['0.39675924', '0.7324949']","['0.39446703', '0.2586611']","['0.4041043', '0.8768604']","['0.38702372', '0.13676633']","['0.64741117', '0.55493045']","['0.6527476', '0.44253272']","['0.7847872', '0.73143107']","['0.64437276', '0.25532967']","['0.90897113', '0.9365588']","['0.87081975', '0.23886298']",w
280,"['0.3796243', '0.50405174']","['0.38940158', '0.5236343']","['0.3882645', '0.52309585']","['0.43509933', '0.53100944']","['0.42944792', '0.52746135']","['0.48895591', '0.4948631']","['0.47110498', '0.44970682']","['0.34521392', '0.48133707']","['0.34950995', '0.461517']","['0.25869632', '0.50153506']","['0.2543788', '0.48887655']","['0.6784112', '0.4501993']","['0.6762853', '0.39784262']","['0.8108072', '0.5800212']","['0.7251785', '0.23600695']","['0.9051892', '0.7264583']","['0.89333135', '0.24196774']",w
281,"['0.33555162', '0.4121546']","['0.3258561', '0.4227963']","['0.32334143', '0.4251947']","['0.3417021', '0.46487993']","['0.33708143', '0.45736727']","['0.4183354', '0.5132528']","['0.4089879', '0.40230986']","['0.42857343', '0.62347674']","['0.41153505', '0.32511237']","['0.43015438', '0.7244506']","['0.4063163', '0.24733633']","['0.6049178', '0.5101674']","['0.6044172', '0.44218406']","['0.7116602', '0.63722306']","['0.64079976', '0.3017764']","['0.80211234', '0.7758021']","['0.7958494', '0.3062396']",w
282,"['0.33555162', '0.4121546']","['0.3258561', '0.4227963']","['0.32334143', '0.4251947']","['0.3417021', '0.46487993']","['0.33708143', '0.45736727']","['0.4183354', '0.5132528']","['0.4089879', '0.40230986']","['0.42857343', '0.62347674']","['0.41153505', '0.32511237']","['0.43015438', '0.7244506']","['0.4063163', '0.24733633']","['0.6049178', '0.5101674']","['0.6044172', '0.44218406']","['0.7116602', '0.63722306']","['0.64079976', '0.3017764']","['0.80211234', '0.7758021']","['0.7958494', '0.3062396']",w
283,"['0.18675543', '0.4295639']","['0.16757107', '0.44259822']","['0.16862002', '0.4450492']","['0.17421912', '0.4807191']","['0.18049566', '0.4948198']","['0.28727832', '0.40738803']","['0.27996993', '0.577915']","['0.27815804', '0.27547786']","['0.30032265', '0.70092636']","['0.2624225', '0.14564869']","['0.3097763', '0.8398547']","['0.53617173', '0.4692492']","['0.52362156', '0.5655248']","['0.57866585', '0.27152568']","['0.6694931', '0.71109056']","['0.78071684', '0.26541114']","['0.78871185', '0.8778817']",w
284,"['0.39271155', '0.3922773']","['0.37748072', '0.4035532']","['0.37827998', '0.39271495']","['0.38074386', '0.44594768']","['0.38343465', '0.4243347']","['0.4388128', '0.52532357']","['0.4563627', '0.38674346']","['0.46042162', '0.6350289']","['0.48116055', '0.30742183']","['0.4465295', '0.7366257']","['0.45357183', '0.2146282']","['0.6334825', '0.5125139']","['0.6348285', '0.44023398']","['0.7457644', '0.63656306']","['0.68036205', '0.29948094']","['0.8529436', '0.7494765']","['0.8263422', '0.30772218']",w
285,"['0.3758781', '0.43775567']","['0.36538088', '0.44743097']","['0.364957', '0.44325572']","['0.37549013', '0.4774201']","['0.3681345', '0.471704']","['0.41867325', '0.47731012']","['0.41579476', '0.47563523']","['0.3243337', '0.45916432']","['0.3622893', '0.4942049']","['0.26463726', '0.45186704']","['0.2626753', '0.45290998']","['0.5748567', '0.4746112']","['0.57076675', '0.45284456']","['0.64884907', '0.5371469']","['0.5932162', '0.34391236']","['0.6993233', '0.6011473']","['0.70749944', '0.3528456']",w
286,"['0.39664656', '0.5150063']","['0.40638664', '0.5181836']","['0.40266556', '0.52431005']","['0.43749052', '0.5128808']","['0.42728078', '0.520545']","['0.4573451', '0.48235208']","['0.45073456', '0.49579313']","['0.34785032', '0.48202974']","['0.33771634', '0.48758698']","['0.27547798', '0.49071532']","['0.27146333', '0.4900862']","['0.6131818', '0.47355616']","['0.6137804', '0.4994338']","['0.6199659', '0.34359765']","['0.6801094', '0.58918726']","['0.7397527', '0.36296535']","['0.7418925', '0.6863469']",w
287,"['0.37449306', '0.61638325']","['0.37919194', '0.6279079']","['0.37528917', '0.6274891']","['0.4252057', '0.62216455']","['0.40878093', '0.62886095']","['0.48721325', '0.59687024']","['0.39491993', '0.5803415']","['0.57309586', '0.5923363']","['0.3092176', '0.6508207']","['0.6640605', '0.64168423']","['0.26099837', '0.74134934']","['0.58837813', '0.5058913']","['0.57062495', '0.44027957']","['0.6765025', '0.63813555']","['0.583157', '0.2959116']","['0.74384046', '0.771218']","['0.73796034', '0.3042795']",w
288,"['0.3031522', '0.5742766']","['0.28973502', '0.56722546']","['0.29012766', '0.56120944']","['0.2959502', '0.53518265']","['0.29807955', '0.52194315']","['0.35395232', '0.5901211']","['0.34076208', '0.46356535']","['0.35631162', '0.68434054']","['0.3392426', '0.36567497']","['0.34587896', '0.7722586']","['0.3215133', '0.2823368']","['0.50839484', '0.5715825']","['0.51280665', '0.48552257']","['0.5373775', '0.69858706']","['0.62660503', '0.38724554']","['0.68395203', '0.71008474']","['0.6859143', '0.25877544']",w
289,"['0.39154026', '0.422651']","['0.38454187', '0.43235758']","['0.38292995', '0.42305186']","['0.3967163', '0.46225107']","['0.38649347', '0.4416173']","['0.43878216', '0.48101085']","['0.438907', '0.40839717']","['0.44654903', '0.48458585']","['0.43338472', '0.36624417']","['0.42014712', '0.458831']","['0.42109188', '0.33669567']","['0.56039524', '0.48678318']","['0.5632298', '0.41856655']","['0.6289219', '0.5475511']","['0.6254309', '0.33057314']","['0.6850442', '0.6144038']","['0.7295495', '0.3323526']",w
290,"['0.3146743', '0.2711554']","['0.3013863', '0.2658172']","['0.30329886', '0.25441155']","['0.31028873', '0.24376884']","['0.31871918', '0.21756808']","['0.36753452', '0.29482248']","['0.3634842', '0.17771155']","['0.36155042', '0.3871848']","['0.36750877', '0.07065548']","['0.3620478', '0.44596678']","['0.364415', '0.04270158']","['0.5523588', '0.25983676']","['0.5524103', '0.19371']","['0.5880465', '0.38720486']","['0.6426646', '0.09459964']","['0.7250265', '0.38065186']","['0.7211235', '0.0019010827']",w
291,"['0.28104454', '0.39783353']","['0.26757005', '0.40919217']","['0.2665007', '0.4060182']","['0.27349347', '0.4528052']","['0.27221853', '0.44416302']","['0.3361659', '0.51879513']","['0.34505737', '0.39066243']","['0.33214477', '0.6200573']","['0.31905282', '0.29200727']","['0.32803294', '0.71403676']","['0.29129478', '0.20341243']","['0.53798956', '0.50108254']","['0.5401575', '0.4208552']","['0.6542444', '0.62372506']","['0.6022788', '0.28560632']","['0.75525683', '0.7541641']","['0.7500108', '0.32936454']",w
292,"['0.29638636', '0.45531738']","['0.2872373', '0.4636771']","['0.28488117', '0.4624493']","['0.2942555', '0.5019103']","['0.29419997', '0.49350134']","['0.35767436', '0.555783']","['0.3573294', '0.44535953']","['0.36447883', '0.65439755']","['0.3650323', '0.3424517']","['0.36656088', '0.7373655']","['0.355919', '0.24784337']","['0.5404293', '0.54367423']","['0.5418822', '0.47324514']","['0.64346474', '0.6787954']","['0.5708706', '0.3242299']","['0.72727275', '0.79103935']","['0.7170489', '0.33097017']",w
293,"['0.44553992', '0.33422017']","['0.4312499', '0.32846624']","['0.43189555', '0.32460633']","['0.4007819', '0.35688713']","['0.4043554', '0.34513965']","['0.40383333', '0.4058647']","['0.43302798', '0.37493426']","['0.42063925', '0.28863233']","['0.4277625', '0.28694463']","['0.4095813', '0.2118963']","['0.4151139', '0.21192649']","['0.44947228', '0.579694']","['0.47203937', '0.55974805']","['0.48194438', '0.7247706']","['0.6133047', '0.56355965']","['0.4935974', '0.84553915']","['0.7319571', '0.5527374']",w
294,"['0.4437228', '0.48059344']","['0.43440923', '0.49972418']","['0.4276064', '0.46929133']","['0.4465909', '0.53056157']","['0.43340835', '0.45972177']","['0.51445353', '0.55813444']","['0.49462512', '0.4248758']","['0.53489095', '0.6375078']","['0.4807369', '0.36611414']","['0.5512192', '0.7277056']","['0.45243922', '0.27389607']","['0.6996539', '0.5127112']","['0.6947118', '0.42629978']","['0.81264496', '0.57671225']","['0.757206', '0.3364453']","['0.90019673', '0.66310567']","['0.87941915', '0.30417413']",w
295,"['0.2671776', '0.524043']","['0.25141963', '0.53222823']","['0.25159967', '0.503097']","['0.25870556', '0.52992713']","['0.25972292', '0.47295728']","['0.32882506', '0.562897']","['0.31146392', '0.43853503']","['0.3279768', '0.6534347']","['0.31512865', '0.34839544']","['0.32509467', '0.7449295']","['0.30281162', '0.24398741']","['0.51925033', '0.5268134']","['0.5164352', '0.45835263']","['0.60987777', '0.63238627']","['0.65604323', '0.389559']","['0.7688192', '0.6332871']","['0.7650206', '0.2864486']",w
